Undergraduate_Major,Starting_Median_Salary,Mid_Career_Median_Salary,Percent_change,Employed,Unemployed,
Accounting,46000.00,77100.00,67.6,75.079,5.341
Aerospace Engineering,57700.00,101000.00,75.0,68.372,4.19
Agriculture,42600.00,71900.00,68.8,80.633,2.863
Anthropology,36800.00,61500.00,67.1,71.564,7.817
Architecture,41600.00,76800.00,84.6,73.558,8.599
Art History,35800.00,64900.00,81.3,67.466,6.391
Biology,38800.00,64800.00,67.0,69.459,5.930
Business Management,43000.00,72100.00,67.7,75.376,5.886
Chemical Engineering,63200.00,107000.00,69.3,70.034,4.626
Chemistry,42600.00,79900.00,87.6,64.297,5.472
Civil Engineering,53900.00,90500.00,67.9,73.295,5.338
Communications,38100.00,70000.00,83.7,80.056,6.436
Computer Engineering,61400.00,105000.00,71.0,83.511,5.474
Computer Science,55900.00,95500.00,70.8,83.796,4.951
Construction,53700.00,88900.00,65.5,85.607,5.109
Criminal Justice,35000.00,56300.00,60.9,81.011,5.403
Drama,35900.00,56900.00,58.5,77.264,8.027
Economics,50100.00,98600.00,96.8,70.675,6.131
Education,34900.00,52000.00,49.0,77.111,7.823
Electrical Engineering,60900.00,103000.00,69.1,72.949,5.051
English,38000.00,64700.00,70.3,64.523,6.864
Film,37900.00,68500.00,80.7,80.632,8.561
Finance,47900.00,88300.00,84.3,82.136,4.847
Forestry,39100.00,62600.00,60.1,69.445,4.256
Geography,41200.00,65500.00,59.0,72.491,6.900
Geology,43500.00,79500.00,82.8,70.154,6.511
Graphic Design,35700.00,59800.00,67.5,65.773,4.981
Health Care Administration,38800.00,60600.00,56.2,78.665,5.700
History,39200.00,71000.00,81.1,67.145,6.585
Hospitality & Tourism,37800.00,57500.00,52.1,81.349,5.144
Industrial Engineering,57700.00,94700.00,64.1,73.192,5.149
Information Technology (IT),49100.00,74800.00,52.3,85.332,5.284
Interior Design,36100.00,53200.00,47.4,0,0
International Relations,40900.00,80900.00,97.8,73.107,7.031
Journalism,35600.00,66700.00,87.4,75.205,6.191
Management Information Systems (MIS),49200.00,82300.00,67.3,85.833,4.397
Marketing,40800.00,79600.00,95.1,79.858,5.503
Math,45400.00,92400.00,103.5,64.902,5.293
Mechanical Engineering,57900.00,93600.00,61.7,72.603,4.384
Music,35900.00,55000.00,53.2,69.754,5.471
Nursing,54200.00,67000.00,23.6,74.903,2.679
Nutrition,39900.00,55300.00,38.6,67.992,6.321
Philosophy,39900.00,81200.00,103.5,67.424,7.502
Physician Assistant,74300.00,91700.00,23.4,66.305,3.895
Physics,50300.00,97300.00,93.4,65.892,5.209
Political Science,40800.00,78200.00,91.7,72.317,6.937
Psychology,35900.00,60400.00,68.2,71.145,6.965
Religion,34100.00,52000.00,52.5,0,0
Sociology,36500.00,58200.00,59.5,68.070,6.580
Spanish,34000.00,53100.00,56.2,0,0